label,_filename,layer,ix
road,data-00007,,
water,data-00008,,
streams,data-00009,,
park,data-00010,Water Fountains,0.0
park,data-00011,Trees,1.0
park,data-00012,Trash Containers,2.0
park,data-00013,Trail Counters,3.0
park,data-00014,Signs,4.0
park,data-00015,Shade Structures,5.0
park,data-00016,Portalets,6.0
park,data-00017,Playground Equipment,7.0
park,data-00018,Tables,8.0
park,data-00019,Outdoor Exercise Equipment,9.0
park,data-00020,Markers,11.0
park,data-00021,Lights,12.0
park,data-00022,Grills,13.0
park,data-00023,Flagpoles,14.0
park,data-00024,Field Accessories,15.0
park,data-00025,Golf Tee,16.0
park,data-00026,Golf Hole,17.0
park,data-00027,Camp Sites,18.0
park,data-00028,BoatRamp,19.0
park,data-00029,Bicycle Racks,20.0
park,data-00030,Benches,21.0
park,data-00031,Trails,22.0
park,data-00032,Fence,23.0
park,data-00033,Disc Golf Courses,24.0
park,data-00034,Bridges,25.0
park,data-00035,Spraygrounds,26.0
park,data-00036,Shelters,27.0
park,data-00037,RoswellParks,28.0
park,data-00038,Pools,29.0
park,data-00039,Playground Area,30.0
park,data-00040,Parking Lots,31.0
park,data-00041,Open Space,32.0
park,data-00042,Fields,33.0
park,data-00043,Dog Parks,34.0
park,data-00044,Docks,35.0
park,data-00045,Courts,36.0
park,data-00046,Allotment,37.0
park,data-00047,Buildings,38.0
